model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
IPSL-CM6A-LR,ps_Emon_IPSL-CM6A-LR_historical_r30i1p1f1_gr_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r30i1p1f1/Emon/ps/gr/v20180803/ps_Emon_IPSL-CM6A-LR_historical_r30i1p1f1_gr_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r30i1p1f1/Emon/ps/gr/v20180803/ps_Emon_IPSL-CM6A-LR_historical_r30i1p1f1_gr_195001-201412.nc,,,,,,,,,,,,
IPSL-CM6A-LR,ps_Amon_IPSL-CM6A-LR_historical_r31i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r31i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r31i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r31i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r31i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM6A-LR,ps_AERmon_IPSL-CM6A-LR_historical_r2i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r2i1p1f1/AERmon/ps/gr/v20180803/ps_AERmon_IPSL-CM6A-LR_historical_r2i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r2i1p1f1/AERmon/ps/gr/v20180803/ps_AERmon_IPSL-CM6A-LR_historical_r2i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM6A-LR,ps_Amon_IPSL-CM6A-LR_historical_r30i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r30i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r30i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r30i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r30i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM6A-LR,ps_Amon_IPSL-CM6A-LR_historical_r27i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r27i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r27i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r27i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r27i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM6A-LR,ps_Amon_IPSL-CM6A-LR_historical_r29i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r29i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r29i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r29i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r29i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM6A-LR,ps_Emon_IPSL-CM6A-LR_historical_r29i1p1f1_gr_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r29i1p1f1/Emon/ps/gr/v20180803/ps_Emon_IPSL-CM6A-LR_historical_r29i1p1f1_gr_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r29i1p1f1/Emon/ps/gr/v20180803/ps_Emon_IPSL-CM6A-LR_historical_r29i1p1f1_gr_195001-201412.nc,,,,,,,,,,,,
IPSL-CM6A-LR,ps_Amon_IPSL-CM6A-LR_historical_r25i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r25i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r25i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r25i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r25i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM6A-LR,ps_Amon_IPSL-CM6A-LR_historical_r2i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r2i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r2i1p1f1_gr_185001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r2i1p1f1/Amon/ps/gr/v20180803/ps_Amon_IPSL-CM6A-LR_historical_r2i1p1f1_gr_185001-201412.nc,,,,,,,,,,,,
IPSL-CM6A-LR,ps_Emon_IPSL-CM6A-LR_historical_r25i1p1f1_gr_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r25i1p1f1/Emon/ps/gr/v20180803/ps_Emon_IPSL-CM6A-LR_historical_r25i1p1f1_gr_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/historical/r25i1p1f1/Emon/ps/gr/v20180803/ps_Emon_IPSL-CM6A-LR_historical_r25i1p1f1_gr_195001-201412.nc,,,,,,,,,,,,
