model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
GFDL-ESM4,ps_Amon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_CFmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Emon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_ssp245_r2i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r2i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r2i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_ssp245_r3i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r3i1p1f1_gr1_201501-210012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r3i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_AERmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf.nci.org.au/thredds/fileServer/replica/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgf.nci.org.au/thredds/dodsC/replica/CMIP6/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_CFmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/dodsC/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/CFmon/ps/gr1/v20180701/ps_CFmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_AERmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/dodsC/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/AERmon/ps/gr1/v20180701/ps_AERmon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/dodsC/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Emon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/dodsC/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r1i1p1f1/Emon/ps/gr1/v20180701/ps_Emon_GFDL-ESM4_ssp245_r1i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_ssp245_r2i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r2i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/dodsC/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r2i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_ssp245_r3i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/fileServer/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r3i1p1f1_gr1_201501-210012.nc,http://esgdata.gfdl.noaa.gov/thredds/dodsC/gfdl_dataroot4/ScenarioMIP/NOAA-GFDL/GFDL-ESM4/ssp245/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_ssp245_r3i1p1f1_gr1_201501-210012.nc,,,,,,,,,,,,
GFDL-ESM4,ps_CFmon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/CFmon/ps/gr1/v20190726/ps_CFmon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/CFmon/ps/gr1/v20190726/ps_CFmon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,,,,,,,,,,,,
GFDL-ESM4,ps_CFmon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/CFmon/ps/gr1/v20190726/ps_CFmon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/CFmon/ps/gr1/v20190726/ps_CFmon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Emon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Emon/ps/gr1/v20190726/ps_Emon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Emon/ps/gr1/v20190726/ps_Emon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Emon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Emon/ps/gr1/v20190726/ps_Emon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Emon/ps/gr1/v20190726/ps_Emon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/ps/gr1/v20190726/ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/ps/gr1/v20190726/ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/ps/gr1/v20190726/ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/ps/gr1/v20190726/ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,,,,,,,,,,,,
GFDL-ESM4,ps_AERmon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/AERmon/ps/gr1/v20190726/ps_AERmon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/AERmon/ps/gr1/v20190726/ps_AERmon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,,,,,,,,,,,,
GFDL-ESM4,ps_AERmon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/AERmon/ps/gr1/v20190726/ps_AERmon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/AERmon/ps/gr1/v20190726/ps_AERmon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_195001-201412.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/ps/gr1/v20190726/ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/ps/gr1/v20190726/ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/ps/gr1/v20190726/ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/ps/gr1/v20190726/ps_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc,,,,,,,,,,,,
GFDL-ESM4,ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/ps/gr1/v20180701/ps_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_195001-201412.nc,,,,,,,,,,,,
