,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,GFDL-ESM4,tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00010101-00201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00010101-00201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00010101-00201231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,GFDL-ESM4,tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00210101-00401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00210101-00401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00210101-00401231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,GFDL-ESM4,tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00410101-00601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00410101-00601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00410101-00601231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,GFDL-ESM4,tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00610101-00801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00610101-00801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00610101-00801231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
4,GFDL-ESM4,tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00810101-01001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00810101-01001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_00810101-01001231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
5,GFDL-ESM4,tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_01010101-01201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_01010101-01201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_01010101-01201231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
6,GFDL-ESM4,tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_01210101-01401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_01210101-01401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_01210101-01401231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
7,GFDL-ESM4,tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_01410101-01501231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_01410101-01501231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20180701/tas_day_GFDL-ESM4_abrupt-4xCO2_r1i1p1f1_gr1_01410101-01501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
8,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00010101-00201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00010101-00201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00010101-00201231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
9,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00210101-00401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00210101-00401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00210101-00401231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
10,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00410101-00601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00410101-00601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00410101-00601231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
11,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00610101-00801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00610101-00801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00610101-00801231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
12,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00810101-01001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00810101-01001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00810101-01001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
13,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01010101-01201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01010101-01201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01010101-01201231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
14,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01210101-01401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01210101-01401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01210101-01401231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
15,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01410101-01601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01410101-01601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01410101-01601231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
16,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01610101-01801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01610101-01801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01610101-01801231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
17,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01810101-02001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01810101-02001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_01810101-02001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
18,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02010101-02201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02010101-02201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02010101-02201231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
19,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02210101-02401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02210101-02401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02210101-02401231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
20,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02410101-02601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02410101-02601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02410101-02601231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
21,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02610101-02801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02610101-02801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02610101-02801231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
22,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02810101-03001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02810101-03001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_02810101-03001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
23,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03010101-03201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03010101-03201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03010101-03201231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
24,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03210101-03401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03210101-03401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03210101-03401231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
25,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03410101-03601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03410101-03601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03410101-03601231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
26,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03610101-03801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03610101-03801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03610101-03801231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
27,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03810101-04001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03810101-04001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_03810101-04001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
28,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04010101-04201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04010101-04201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04010101-04201231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
29,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04210101-04401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04210101-04401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04210101-04401231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
30,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04410101-04601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04410101-04601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04410101-04601231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
31,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04610101-04801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04610101-04801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04610101-04801231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
32,GFDL-ESM4,hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04810101-05001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04810101-05001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/hurs/gr1/v20180701/hurs_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_04810101-05001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
33,GFDL-ESM4,huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00010101-00201231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/huss/gr1/v20180701/huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00010101-00201231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/huss/gr1/v20180701/huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00010101-00201231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
34,GFDL-ESM4,huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00210101-00401231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/huss/gr1/v20180701/huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00210101-00401231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/huss/gr1/v20180701/huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00210101-00401231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
35,GFDL-ESM4,huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00410101-00601231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/huss/gr1/v20180701/huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00410101-00601231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/huss/gr1/v20180701/huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00410101-00601231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
36,GFDL-ESM4,huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00610101-00801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/huss/gr1/v20180701/huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00610101-00801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/huss/gr1/v20180701/huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00610101-00801231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
37,GFDL-ESM4,huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00810101-01001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/huss/gr1/v20180701/huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00810101-01001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/huss/gr1/v20180701/huss_day_GFDL-ESM4_piControl_r1i1p1f1_gr1_00810101-01001231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
