,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
10,CNRM-CM6-1,tas_day_CNRM-CM6-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/day/tas/gr/v20180814/tas_day_CNRM-CM6-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/day/tas/gr/v20180814/tas_day_CNRM-CM6-1_piControl_r1i1p1f2_gr_18500101-20991231.nc,1,1,1,2,r1i1p1f2,piControl,tas,day,True
11,CNRM-CM6-1,tas_day_CNRM-CM6-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/day/tas/gr/v20180814/tas_day_CNRM-CM6-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/day/tas/gr/v20180814/tas_day_CNRM-CM6-1_piControl_r1i1p1f2_gr_21000101-23491231.nc,1,1,1,2,r1i1p1f2,piControl,tas,day,True
12,CNRM-CM6-1,huss_day_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_18500301-18591231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r2i1p1f2/day/huss/gr/v20181012/huss_day_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_18500301-18591231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r2i1p1f2/day/huss/gr/v20181012/huss_day_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_18500301-18591231.nc,2,1,1,2,r2i1p1f2,abrupt-4xCO2,huss,day,False
13,CNRM-CM6-1,hurs_day_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_18500301-18591231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r2i1p1f2/day/hurs/gr/v20181012/hurs_day_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_18500301-18591231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r2i1p1f2/day/hurs/gr/v20181012/hurs_day_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_18500301-18591231.nc,2,1,1,2,r2i1p1f2,abrupt-4xCO2,hurs,day,False
14,CNRM-CM6-1,huss_day_CNRM-CM6-1_abrupt-4xCO2_r3i1p1f2_gr_18500501-18591231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r3i1p1f2/day/huss/gr/v20181012/huss_day_CNRM-CM6-1_abrupt-4xCO2_r3i1p1f2_gr_18500501-18591231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r3i1p1f2/day/huss/gr/v20181012/huss_day_CNRM-CM6-1_abrupt-4xCO2_r3i1p1f2_gr_18500501-18591231.nc,3,1,1,2,r3i1p1f2,abrupt-4xCO2,huss,day,False
15,CNRM-CM6-1,hurs_day_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_18500901-18591231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r5i1p1f2/day/hurs/gr/v20181012/hurs_day_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_18500901-18591231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r5i1p1f2/day/hurs/gr/v20181012/hurs_day_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_18500901-18591231.nc,5,1,1,2,r5i1p1f2,abrupt-4xCO2,hurs,day,False
16,CNRM-CM6-1,hurs_day_CNRM-CM6-1_abrupt-4xCO2_r6i1p1f2_gr_18501101-18591231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r6i1p1f2/day/hurs/gr/v20181012/hurs_day_CNRM-CM6-1_abrupt-4xCO2_r6i1p1f2_gr_18501101-18591231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r6i1p1f2/day/hurs/gr/v20181012/hurs_day_CNRM-CM6-1_abrupt-4xCO2_r6i1p1f2_gr_18501101-18591231.nc,6,1,1,2,r6i1p1f2,abrupt-4xCO2,hurs,day,False
17,CNRM-CM6-1,tas_day_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20180705/tas_day_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r1i1p1f2/day/tas/gr/v20180705/tas_day_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,tas,day,False
18,CNRM-CM6-1,huss_day_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r1i1p1f2/day/huss/gr/v20180705/huss_day_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r1i1p1f2/day/huss/gr/v20180705/huss_day_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,huss,day,False
19,CNRM-CM6-1,ps_CFday_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r1i1p1f2/CFday/ps/gr/v20180705/ps_CFday_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r1i1p1f2/CFday/ps/gr/v20180705/ps_CFday_CNRM-CM6-1_abrupt-4xCO2_r1i1p1f2_gr_18500101-19991231.nc,1,1,1,2,r1i1p1f2,abrupt-4xCO2,ps,day,False
20,CNRM-CM6-1,tas_day_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_18500901-18591231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r5i1p1f2/day/tas/gr/v20181012/tas_day_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_18500901-18591231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r5i1p1f2/day/tas/gr/v20181012/tas_day_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_18500901-18591231.nc,5,1,1,2,r5i1p1f2,abrupt-4xCO2,tas,day,False
21,CNRM-CM6-1,huss_day_CNRM-CM6-1_abrupt-4xCO2_r4i1p1f2_gr_18500701-18591231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r4i1p1f2/day/huss/gr/v20181012/huss_day_CNRM-CM6-1_abrupt-4xCO2_r4i1p1f2_gr_18500701-18591231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r4i1p1f2/day/huss/gr/v20181012/huss_day_CNRM-CM6-1_abrupt-4xCO2_r4i1p1f2_gr_18500701-18591231.nc,4,1,1,2,r4i1p1f2,abrupt-4xCO2,huss,day,False
22,CNRM-CM6-1,tas_day_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_18500301-18591231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r2i1p1f2/day/tas/gr/v20181012/tas_day_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_18500301-18591231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r2i1p1f2/day/tas/gr/v20181012/tas_day_CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_gr_18500301-18591231.nc,2,1,1,2,r2i1p1f2,abrupt-4xCO2,tas,day,False
23,CNRM-CM6-1,hurs_day_CNRM-CM6-1_abrupt-4xCO2_r3i1p1f2_gr_18500501-18591231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r3i1p1f2/day/hurs/gr/v20181012/hurs_day_CNRM-CM6-1_abrupt-4xCO2_r3i1p1f2_gr_18500501-18591231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r3i1p1f2/day/hurs/gr/v20181012/hurs_day_CNRM-CM6-1_abrupt-4xCO2_r3i1p1f2_gr_18500501-18591231.nc,3,1,1,2,r3i1p1f2,abrupt-4xCO2,hurs,day,False
24,CNRM-CM6-1,huss_day_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_18500901-18591231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r5i1p1f2/day/huss/gr/v20181012/huss_day_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_18500901-18591231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/abrupt-4xCO2/r5i1p1f2/day/huss/gr/v20181012/huss_day_CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_gr_18500901-18591231.nc,5,1,1,2,r5i1p1f2,abrupt-4xCO2,huss,day,False
