,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking
0,INM-CM4-8,tas_day_INM-CM4-8_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190529/tas_day_INM-CM4-8_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190529/tas_day_INM-CM4-8_abrupt-4xCO2_r1i1p1f1_gr1_18500101-18991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
1,INM-CM4-8,tas_day_INM-CM4-8_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190529/tas_day_INM-CM4-8_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190529/tas_day_INM-CM4-8_abrupt-4xCO2_r1i1p1f1_gr1_19000101-19491231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
2,INM-CM4-8,tas_day_INM-CM4-8_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190529/tas_day_INM-CM4-8_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/abrupt-4xCO2/r1i1p1f1/day/tas/gr1/v20190529/tas_day_INM-CM4-8_abrupt-4xCO2_r1i1p1f1_gr1_19500101-19991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True
3,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_18500101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_18500101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_18500101-18991231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
4,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19000101-19491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19000101-19491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19000101-19491231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
5,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19500101-19991231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
6,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20000101-20491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20000101-20491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20000101-20491231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
7,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20500101-20991231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
8,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21000101-21491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21000101-21491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21000101-21491231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
9,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21500101-21991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21500101-21991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21500101-21991231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
10,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22000101-22491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22000101-22491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22000101-22491231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
11,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22500101-22631231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22500101-22631231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22500101-22631231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
12,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22640101-23131231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22640101-23131231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22640101-23131231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
13,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23140101-23631231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23140101-23631231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23140101-23631231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
14,INM-CM4-8,hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23640101-23801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23640101-23801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/hurs/gr1/v20190605/hurs_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23640101-23801231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True
15,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_18500101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_18500101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_18500101-18991231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
16,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19000101-19491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19000101-19491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19000101-19491231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
17,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19500101-19991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19500101-19991231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
18,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20000101-20491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20000101-20491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20000101-20491231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
19,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20500101-20991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_20500101-20991231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
20,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21000101-21491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21000101-21491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21000101-21491231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
21,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21500101-21991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21500101-21991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_21500101-21991231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
22,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22000101-22491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22000101-22491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22000101-22491231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
23,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22500101-22631231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22500101-22631231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22500101-22631231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
24,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22640101-23131231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22640101-23131231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_22640101-23131231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
25,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23140101-23631231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23140101-23631231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23140101-23631231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
26,INM-CM4-8,huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23640101-23801231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23640101-23801231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/huss/gr1/v20190605/huss_day_INM-CM4-8_piControl_r1i1p1f1_gr1_23640101-23801231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True
27,INM-CM4-8,tas_day_INM-CM4-8_piControl_r1i1p1f1_gr1_18500101-18991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/tas/gr1/v20190605/tas_day_INM-CM4-8_piControl_r1i1p1f1_gr1_18500101-18991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/tas/gr1/v20190605/tas_day_INM-CM4-8_piControl_r1i1p1f1_gr1_18500101-18991231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True
28,INM-CM4-8,tas_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19000101-19491231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/tas/gr1/v20190605/tas_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19000101-19491231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/day/tas/gr1/v20190605/tas_day_INM-CM4-8_piControl_r1i1p1f1_gr1_19000101-19491231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True
