model,filename,download_url,opendap_url,Unnamed: 0,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r6i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/ps/gn/v20190604/ps_Amon_UKESM1-0-LL_historical_r6i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/ps/gn/v20190604/ps_Amon_UKESM1-0-LL_historical_r6i1p1f3_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r6i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/ps/gn/v20190604/ps_Amon_UKESM1-0-LL_historical_r6i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Amon/ps/gn/v20190604/ps_Amon_UKESM1-0-LL_historical_r6i1p1f3_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r7i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r7i1p1f3/Emon/ps/gn/v20190603/ps_Emon_UKESM1-0-LL_historical_r7i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r7i1p1f3/Emon/ps/gn/v20190603/ps_Emon_UKESM1-0-LL_historical_r7i1p1f3_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r7i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r7i1p1f3/Emon/ps/gn/v20190603/ps_Emon_UKESM1-0-LL_historical_r7i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r7i1p1f3/Emon/ps/gn/v20190603/ps_Emon_UKESM1-0-LL_historical_r7i1p1f3_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r6i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Emon/ps/gn/v20190604/ps_Emon_UKESM1-0-LL_historical_r6i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Emon/ps/gn/v20190604/ps_Emon_UKESM1-0-LL_historical_r6i1p1f3_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r6i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Emon/ps/gn/v20190604/ps_Emon_UKESM1-0-LL_historical_r6i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/Emon/ps/gn/v20190604/ps_Emon_UKESM1-0-LL_historical_r6i1p1f3_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r9i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r9i1p1f2/Emon/ps/gn/v20190603/ps_Emon_UKESM1-0-LL_historical_r9i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r9i1p1f2/Emon/ps/gn/v20190603/ps_Emon_UKESM1-0-LL_historical_r9i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r9i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r9i1p1f2/Emon/ps/gn/v20190603/ps_Emon_UKESM1-0-LL_historical_r9i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r9i1p1f2/Emon/ps/gn/v20190603/ps_Emon_UKESM1-0-LL_historical_r9i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r7i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r7i1p1f3/Amon/ps/gn/v20190603/ps_Amon_UKESM1-0-LL_historical_r7i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r7i1p1f3/Amon/ps/gn/v20190603/ps_Amon_UKESM1-0-LL_historical_r7i1p1f3_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r7i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r7i1p1f3/Amon/ps/gn/v20190603/ps_Amon_UKESM1-0-LL_historical_r7i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r7i1p1f3/Amon/ps/gn/v20190603/ps_Amon_UKESM1-0-LL_historical_r7i1p1f3_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r2i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r2i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r2i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r2i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r2i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r2i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r8i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r8i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r8i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r8i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r8i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r8i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r2i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r2i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r2i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r2i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r2i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r2i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r4i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r4i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r4i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r4i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r4i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r4i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r5i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/AERmon/ps/gn/v20190510/ps_AERmon_UKESM1-0-LL_historical_r5i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/AERmon/ps/gn/v20190510/ps_AERmon_UKESM1-0-LL_historical_r5i1p1f3_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r5i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/AERmon/ps/gn/v20190510/ps_AERmon_UKESM1-0-LL_historical_r5i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/AERmon/ps/gn/v20190510/ps_AERmon_UKESM1-0-LL_historical_r5i1p1f3_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r3i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r3i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r3i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r3i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r3i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r3i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r4i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r4i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r4i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r4i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r4i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r4i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r5i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/Emon/ps/gn/v20190510/ps_Emon_UKESM1-0-LL_historical_r5i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/Emon/ps/gn/v20190510/ps_Emon_UKESM1-0-LL_historical_r5i1p1f3_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r5i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/Emon/ps/gn/v20190510/ps_Emon_UKESM1-0-LL_historical_r5i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/Emon/ps/gn/v20190510/ps_Emon_UKESM1-0-LL_historical_r5i1p1f3_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r2i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r2i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r2i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r2i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r2i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r2i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r2i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r4i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r4i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r4i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r4i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r4i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r4i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r4i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r8i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r8i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r8i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r8i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r8i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/AERmon/ps/gn/v20190502/ps_AERmon_UKESM1-0-LL_historical_r8i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r3i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r3i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r3i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r3i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r3i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r3i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r5i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/Amon/ps/gn/v20190510/ps_Amon_UKESM1-0-LL_historical_r5i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/Amon/ps/gn/v20190510/ps_Amon_UKESM1-0-LL_historical_r5i1p1f3_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r5i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/Amon/ps/gn/v20190510/ps_Amon_UKESM1-0-LL_historical_r5i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r5i1p1f3/Amon/ps/gn/v20190510/ps_Amon_UKESM1-0-LL_historical_r5i1p1f3_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r3i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r3i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r3i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Emon_UKESM1-0-LL_historical_r3i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r3i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r3i1p1f2/Emon/ps/gn/v20190502/ps_Emon_UKESM1-0-LL_historical_r3i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r8i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r8i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r8i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_Amon_UKESM1-0-LL_historical_r8i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r8i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r8i1p1f2/Amon/ps/gn/v20190502/ps_Amon_UKESM1-0-LL_historical_r8i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r9i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r9i1p1f2/AERmon/ps/gn/v20190603/ps_AERmon_UKESM1-0-LL_historical_r9i1p1f2_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r9i1p1f2/AERmon/ps/gn/v20190603/ps_AERmon_UKESM1-0-LL_historical_r9i1p1f2_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r9i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r9i1p1f2/AERmon/ps/gn/v20190603/ps_AERmon_UKESM1-0-LL_historical_r9i1p1f2_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r9i1p1f2/AERmon/ps/gn/v20190603/ps_AERmon_UKESM1-0-LL_historical_r9i1p1f2_gn_195001-201412.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r6i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/AERmon/ps/gn/v20190604/ps_AERmon_UKESM1-0-LL_historical_r6i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/AERmon/ps/gn/v20190604/ps_AERmon_UKESM1-0-LL_historical_r6i1p1f3_gn_185001-194912.nc,,,,,,,,,,,,
UKESM1-0-LL,ps_AERmon_UKESM1-0-LL_historical_r6i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/AERmon/ps/gn/v20190604/ps_AERmon_UKESM1-0-LL_historical_r6i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r6i1p1f3/AERmon/ps/gn/v20190604/ps_AERmon_UKESM1-0-LL_historical_r6i1p1f3_gn_195001-201412.nc,,,,,,,,,,,,
