,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_000101-010012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_000101-010012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_000101-010012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1,100
1,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_010101-020012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_010101-020012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_010101-020012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,101,200
2,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_020101-030012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_020101-030012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_020101-030012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,201,300
3,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_030101-040012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_030101-040012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_030101-040012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,301,400
4,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_040101-050012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_040101-050012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_040101-050012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,401,500
5,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_000101-010012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_000101-010012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_000101-010012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1,100
6,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_010101-020012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_010101-020012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_010101-020012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,101,200
7,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_020101-030012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_020101-030012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_020101-030012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,201,300
8,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_030101-040012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_030101-040012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_030101-040012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,301,400
9,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_040101-050012.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_040101-050012.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_040101-050012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,401,500
10,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_000101-010012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_000101-010012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_000101-010012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,1,100
11,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_010101-020012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_010101-020012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_010101-020012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,101,200
12,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_020101-030012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_020101-030012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_020101-030012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,201,300
13,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_030101-040012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_030101-040012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_030101-040012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,301,400
14,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_040101-050012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_040101-050012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/UA/MCM-UA-1-0/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_gn_040101-050012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,401,500
15,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_piControl_r1i1p1f1_gn_000101-010012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/piControl/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_piControl_r1i1p1f1_gn_000101-010012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/piControl/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_piControl_r1i1p1f1_gn_000101-010012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1,100
16,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_piControl_r1i1p1f1_gn_010101-020012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/piControl/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_piControl_r1i1p1f1_gn_010101-020012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/piControl/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_piControl_r1i1p1f1_gn_010101-020012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,101,200
17,MCM-UA-1-0,ps_Amon_MCM-UA-1-0_piControl_r1i1p1f1_gn_020101-030012.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/piControl/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_piControl_r1i1p1f1_gn_020101-030012.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/UA/MCM-UA-1-0/piControl/r1i1p1f1/Amon/ps/gn/v20190731/ps_Amon_MCM-UA-1-0_piControl_r1i1p1f1_gn_020101-030012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,201,300
