,model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop
0,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_185001-185912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_185001-185912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_185001-185912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1850,1859
1,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_186001-186912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_186001-186912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_186001-186912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1860,1869
2,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_187001-187912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_187001-187912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_187001-187912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1870,1879
3,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_188001-188912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_188001-188912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_188001-188912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1880,1889
4,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_189001-189912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_189001-189912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_189001-189912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1890,1899
5,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_190001-190912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_190001-190912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_190001-190912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1900,1909
6,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_191001-191912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_191001-191912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_191001-191912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1910,1919
7,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_192001-192912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_192001-192912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_192001-192912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1920,1929
8,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_193001-193912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_193001-193912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_193001-193912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1930,1939
9,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_194001-194912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_194001-194912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_194001-194912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1940,1949
10,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_195001-195912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_195001-195912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_195001-195912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1950,1959
11,E3SM-1-1-ECA,ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_196001-196912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_196001-196912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Amon/ps/gr/v20191216/ps_Amon_E3SM-1-1-ECA_piControl_r1i1p1f1_gr_196001-196912.nc,1,1,1,1,r1i1p1f1,piControl,ps,gr,mon,1960,1969
